nom,adresse,arrondissement,latitude,longitude,type_cuisine,specialite,prix_fourchette,categorie_prix,note_moyenne,nb_avis,ambiance,telephone,vegetarien_friendly,reservation_recommandee
Au Juge,"135 Rue des Martyrs, 75018 Paris",5018,48.862056,2.379622,Indien,Sud-Indien,10-20,Bon marché,4.1,726,"Cosy, Business",0138871545,True,False
L' Mine,"20 Boulevard Voltaire, 75002 Paris",5002,48.839738,2.360623,Fusion,Asian Fusion,30-50,Moyenne gamme +,3.8,92,"Branché, Élégant",0186838000,False,False
L' Jacquet,"88 Rue de Rennes, 75010 Paris",5010,48.880989,2.339449,Indien,Nord-Indien,10-20,Bon marché,3.8,56,"Branché, Familial",0109619243,False,False
Maison Bistrot Pichon,"13 Rue Mouffetard, 75019 Paris",5019,48.837401,2.398521,Libanais,Grillades,50+,Haut de gamme,4.9,147,"Élégant, Branché, Cosy",0162545381,False,True
La Briller,"27 Rue de la Paix, 75011 Paris",5011,48.830032,2.314504,Italien,Pasta,30-50,Moyenne gamme +,4.6,1283,"Branché, Convivial, Traditionnel",0130532215,True,False
Chez Restaurant Denis,"84 Avenue Victor Hugo, 75001 Paris",5001,48.847726,2.318457,Végétarien,Vegan,20-30,Moyenne gamme,4.1,93,"Cosy, Décontracté, Modern",0146671500,False,True
Au Ce,"4 Rue de Passy, 75009 Paris",5009,48.855825,2.335812,Thaïlandais,Traditionnel,10-20,Bon marché,4.8,344,"Romantique, Modern",0188242064,True,False
Les Lueur,"5 Avenue de l'Opéra, 75020 Paris",5020,48.809108,2.385672,Végétarien,Végétarien,10-20,Bon marché,4.3,440,"Traditionnel, Modern",0155740571,False,False
Aux Étouffer,"134 Rue de la Roquette, 75005 Paris",5005,48.826441,2.312167,Fusion,Asian Fusion,30-50,Moyenne gamme +,4.1,91,Romantique,0109527706,True,False
Au Accrocher,"93 Rue de la Roquette, 75009 Paris",5009,48.828229,2.392847,Libanais,Grillades,20-30,Moyenne gamme,4.2,400,Décontracté,0151115994,True,True
Le Restaurant Laine,"84 Rue de Rivoli, 75003 Paris",5003,48.89796,2.349484,Végétarien,Végétarien,20-30,Moyenne gamme,3.7,147,Familial,0173224096,True,True
Les Prévoir,"72 Rue de Belleville, 75006 Paris",5006,48.88644,2.305285,Méditerranéen,Mezze,30-50,Moyenne gamme +,4.4,310,"Branché, Familial",0115339129,False,False
Aux Devenir,"121 Place Vendôme, 75010 Paris",5010,48.849999,2.334603,Chinois,Dim Sum,50+,Haut de gamme,4.3,217,"Décontracté, Branché",0173159840,True,True
L' Gay,"76 Rue de la Paix, 75020 Paris",5020,48.814151,2.344614,Fusion,Modern Fusion,50+,Haut de gamme,5.0,168,Romantique,0196226506,False,False
Aux Le,"41 Rue Saint-Antoine, 75013 Paris",5013,48.872731,2.360396,Italien,Trattoria,10-20,Bon marché,4.0,38,"Cosy, Traditionnel, Business",0144252154,True,False
La Guère,"52 Rue de Rennes, 75008 Paris",5008,48.884755,2.340521,Italien,Pasta,30-50,Moyenne gamme +,4.5,551,Décontracté,0193536827,True,True
Maison Empêcher,"112 Rue Mouffetard, 75001 Paris",5001,48.821846,2.326543,Français,Brasserie,20-30,Moyenne gamme,3.8,126,"Traditionnel, Cosy, Familial",0127290153,True,True
La Saveurs Ollivier,"146 Avenue de l'Opéra, 75010 Paris",5010,48.872026,2.359743,Thaïlandais,Traditionnel,30-50,Moyenne gamme +,4.1,71,Familial,0132609687,True,True
L' Cuisine Michaud,"52 Rue Mouffetard, 75015 Paris",5015,48.856774,2.372576,Végétarien,Vegan,20-30,Moyenne gamme,4.6,22,"Romantique, Business, Branché",0162115317,False,True
Les Que,"66 Rue de Passy, 75009 Paris",5009,48.806731,2.367411,Français,Bistrot,20-30,Moyenne gamme,4.4,278,"Décontracté, Business",0155707539,False,True
Les Petit,"61 Rue de Belleville, 75018 Paris",5018,48.894619,2.379757,Chinois,Dim Sum,50+,Haut de gamme,3.9,244,Romantique,0154416930,True,False
La Brusquement,"119 Boulevard Haussmann, 75011 Paris",5011,48.834488,2.385118,Méditerranéen,Grec,30-50,Moyenne gamme +,4.3,15,Romantique,0169300100,False,False
Maison Quatre,"18 Avenue des Champs-Élysées, 75010 Paris",5010,48.866178,2.312814,Libanais,Grillades,30-50,Moyenne gamme +,4.4,225,"Traditionnel, Familial",0196802794,True,False
Les Miser,"124 Avenue des Champs-Élysées, 75015 Paris",5015,48.809041,2.322512,Français,Brasserie,20-30,Moyenne gamme,4.1,87,"Traditionnel, Modern",0169240031,True,False
Chez Figurer,"83 Place Vendôme, 75003 Paris",5003,48.899979,2.349057,Italien,Pasta,20-30,Moyenne gamme,3.7,320,"Familial, Branché",0167824435,False,True
L' Appartement,"136 Rue de la Paix, 75017 Paris",5017,48.808751,2.318089,Indien,Nord-Indien,30-50,Moyenne gamme +,3.6,67,"Branché, Élégant",0136746039,False,True
Le Cuisine Carre,"113 Boulevard Saint-Germain, 75014 Paris",5014,48.882836,2.390677,Italien,Trattoria,20-30,Moyenne gamme,4.5,362,"Modern, Romantique, Décontracté",0158419607,True,False
L' Tête,"58 Avenue Victor Hugo, 75009 Paris",5009,48.851287,2.370185,Français,Brasserie,10-20,Bon marché,4.7,156,Élégant,0180832648,False,False
La Tour,"110 Rue de la Roquette, 75019 Paris",5019,48.872089,2.364705,Italien,Trattoria,30-50,Moyenne gamme +,3.9,838,"Familial, Décontracté, Cosy",0163903827,True,True
La Reynaud,"92 Rue Saint-Antoine, 75020 Paris",5020,48.884378,2.388834,Méditerranéen,Grec,10-20,Bon marché,4.2,54,"Décontracté, Modern",0117507978,False,False
L' Voix,"92 Place Vendôme, 75001 Paris",5001,48.856981,2.307348,Chinois,Dim Sum,30-50,Moyenne gamme +,4.7,135,Branché,0161306002,True,False
Aux Peuple,"28 Rue Oberkampf, 75004 Paris",5004,48.894005,2.393553,Indien,Sud-Indien,10-20,Bon marché,4.1,46,"Décontracté, Élégant, Romantique",0166109456,False,False
Les Bistrot Descamps,"68 Avenue Montaigne, 75020 Paris",5020,48.83755,2.368907,Japonais,Sushi,30-50,Moyenne gamme +,4.2,785,Convivial,0118723407,False,True
Le Bistrot Dumont,"91 Rue Saint-Antoine, 75008 Paris",5008,48.832889,2.326142,Libanais,Grillades,30-50,Moyenne gamme +,3.9,639,"Traditionnel, Modern, Branché",0159692005,False,False
La Saveurs Roux,"20 Avenue Victor Hugo, 75009 Paris",5009,48.851039,2.36578,Fusion,Asian Fusion,10-20,Bon marché,3.6,99,"Convivial, Familial, Élégant",0118835703,True,False
La Encore,"88 Rue Mouffetard, 75011 Paris",5011,48.866906,2.363645,Végétarien,Végétarien,10-20,Bon marché,4.9,333,"Familial, Modern",0151020469,False,False
L' Parfaitement,"118 Rue de Passy, 75004 Paris",5004,48.905214,2.348263,Italien,Trattoria,20-30,Moyenne gamme,4.0,519,"Élégant, Familial",0158291710,False,True
Les Observer,"103 Boulevard Voltaire, 75011 Paris",5011,48.90194,2.303073,Indien,Sud-Indien,20-30,Moyenne gamme,3.7,253,Modern,0182839369,False,True
Aux Delannoy,"38 Rue de la Paix, 75013 Paris",5013,48.82576,2.385101,Chinois,Cantonais,50+,Haut de gamme,4.4,165,Décontracté,0104144203,True,False
Chez Bistrot Lejeune,"62 Rue de la Roquette, 75004 Paris",5004,48.828221,2.343321,Chinois,Cantonais,20-30,Moyenne gamme,4.3,93,"Élégant, Romantique, Modern",0111986296,False,True
L' Midi,"79 Rue Oberkampf, 75016 Paris",5016,48.825437,2.34868,Indien,Nord-Indien,10-20,Bon marché,4.5,39,"Traditionnel, Cosy",0182484784,False,False
Au Mériter,"5 Rue de Rivoli, 75001 Paris",5001,48.899976,2.3364,Libanais,Grillades,20-30,Moyenne gamme,3.8,692,"Familial, Cosy",0163105730,False,True
Aux Fixe,"35 Avenue Montaigne, 75006 Paris",5006,48.865161,2.322972,Méditerranéen,Grec,10-20,Bon marché,4.6,702,Branché,0119347062,False,False
La Confiance,"59 Rue Oberkampf, 75010 Paris",5010,48.857199,2.337069,Méditerranéen,Grec,30-50,Moyenne gamme +,3.9,310,Familial,0193921827,False,True
La Michel,"55 Rue des Martyrs, 75008 Paris",5008,48.818335,2.328171,Français,Gastronomique,30-50,Moyenne gamme +,4.7,134,Élégant,0100888738,False,True
Maison Saison,"91 Rue Saint-Antoine, 75002 Paris",5002,48.812135,2.354863,Méditerranéen,Mezze,30-50,Moyenne gamme +,4.1,138,Romantique,0113295136,False,True
Le Restaurant Michaud,"83 Rue de Belleville, 75012 Paris",5012,48.899444,2.385324,Végétarien,Vegan,20-30,Moyenne gamme,4.3,398,Romantique,0109385887,True,True
Au Chat,"65 Rue Oberkampf, 75015 Paris",5015,48.877317,2.351734,Indien,Nord-Indien,10-20,Bon marché,3.7,692,Traditionnel,0179975747,True,False
La Cuisine Hamel,"4 Boulevard Voltaire, 75005 Paris",5005,48.859719,2.380865,Français,Gastronomique,30-50,Moyenne gamme +,4.0,664,"Modern, Traditionnel",0117329158,True,False
Aux Gallet,"24 Rue du Faubourg Saint-Honoré, 75006 Paris",5006,48.827197,2.388082,Français,Brasserie,20-30,Moyenne gamme,3.6,464,Traditionnel,0190251857,False,False
Aux Rare,"107 Rue de Belleville, 75010 Paris",5010,48.836287,2.31516,Thaïlandais,Street food,30-50,Moyenne gamme +,4.6,318,Romantique,0163568023,False,True
Les Coup,"51 Boulevard Haussmann, 75012 Paris",5012,48.864405,2.400615,Italien,Pizza,10-20,Bon marché,3.7,36,"Branché, Traditionnel",0111562591,False,False
Maison Charpentier,"139 Rue Saint-Antoine, 75018 Paris",5018,48.85001,2.329438,Chinois,Cantonais,20-30,Moyenne gamme,4.4,62,Familial,0134425032,True,False
Chez Delmas,"66 Boulevard Haussmann, 75008 Paris",5008,48.854837,2.335399,Chinois,Sichuan,30-50,Moyenne gamme +,4.9,696,Cosy,0129705271,True,True
L' Social,"35 Avenue des Champs-Élysées, 75011 Paris",5011,48.873106,2.333673,Français,Brasserie,10-20,Bon marché,3.7,289,Élégant,0125264936,False,False
La Bistrot Delaunay,"83 Rue des Martyrs, 75006 Paris",5006,48.823209,2.334974,Végétarien,Végétarien,20-30,Moyenne gamme,4.5,12,"Branché, Romantique, Familial",0169810751,False,True
Au Cuisine Arnaud,"118 Avenue de l'Opéra, 75001 Paris",5001,48.893853,2.33753,Thaïlandais,Street food,30-50,Moyenne gamme +,4.4,42,"Romantique, Familial, Cosy",0144532885,False,True
Aux Restaurant Courtois,"44 Rue de la Roquette, 75002 Paris",5002,48.877777,2.345928,Italien,Pasta,30-50,Moyenne gamme +,4.8,336,"Convivial, Traditionnel",0144621607,False,True
La Aubry,"11 Place Vendôme, 75004 Paris",5004,48.888791,2.32072,Français,Traditionnel,30-50,Moyenne gamme +,4.1,11,"Convivial, Décontracté, Élégant",0169550078,False,False
Le Table Lucas,"115 Rue de Passy, 75006 Paris",5006,48.885954,2.400326,Japonais,Izakaya,30-50,Moyenne gamme +,4.6,62,"Romantique, Élégant, Business",0195083548,True,True
Maison Lecoq,"88 Boulevard Saint-Germain, 75018 Paris",5018,48.881749,2.385901,Japonais,Sushi,10-20,Bon marché,4.8,248,Branché,0108963590,False,False
Chez Moyen,"76 Rue Saint-Antoine, 75005 Paris",5005,48.877971,2.337575,Indien,Sud-Indien,30-50,Moyenne gamme +,4.1,363,Familial,0187485635,False,False
Chez Olivier,"89 Avenue de l'Opéra, 75009 Paris",5009,48.892354,2.364086,Chinois,Dim Sum,30-50,Moyenne gamme +,3.9,326,"Décontracté, Modern",0198848177,False,False
Chez Prix,"6 Rue de la Roquette, 75007 Paris",5007,48.810284,2.310452,Chinois,Dim Sum,50+,Haut de gamme,4.4,60,Branché,0121070046,True,True
Chez Leconte,"121 Avenue de l'Opéra, 75010 Paris",5010,48.82244,2.397205,Indien,Nord-Indien,20-30,Moyenne gamme,4.0,383,Business,0174438348,False,False
Le Regretter,"63 Rue de la Roquette, 75011 Paris",5011,48.84076,2.341622,Indien,Sud-Indien,50+,Haut de gamme,4.4,63,Traditionnel,0151791169,False,False
Au Saveurs Merle,"146 Rue de Rennes, 75001 Paris",5001,48.837461,2.396997,Italien,Pasta,30-50,Moyenne gamme +,3.7,128,"Traditionnel, Romantique, Convivial",0103606199,True,False
Chez Descamps,"72 Avenue Victor Hugo, 75020 Paris",5020,48.813191,2.355004,Libanais,Grillades,50+,Haut de gamme,5.0,294,Modern,0139222255,True,True
Les Saveurs Bertrand,"6 Rue de Belleville, 75009 Paris",5009,48.882544,2.333992,Japonais,Izakaya,30-50,Moyenne gamme +,3.6,324,Business,0103148497,False,True
La Techer,"33 Rue du Faubourg Saint-Honoré, 75019 Paris",5019,48.88301,2.377723,Italien,Trattoria,20-30,Moyenne gamme,4.9,577,Romantique,0154735564,False,True
L' Cheveu,"147 Rue du Faubourg Saint-Honoré, 75016 Paris",5016,48.883253,2.326186,Français,Bistrot,20-30,Moyenne gamme,4.0,331,"Branché, Convivial, Modern",0114820163,False,False
L' Restaurant Faure,"7 Avenue Victor Hugo, 75012 Paris",5012,48.903776,2.344018,Libanais,Grillades,50+,Haut de gamme,3.9,183,"Romantique, Modern",0105642642,False,False
L' Bistrot Samson,"134 Rue Oberkampf, 75020 Paris",5020,48.855157,2.388561,Libanais,Mezze,50+,Haut de gamme,5.0,27,Business,0137595953,False,False
Aux Table Michaud,"136 Rue Saint-Honoré, 75020 Paris",5020,48.880383,2.366843,Japonais,Sushi,50+,Haut de gamme,4.6,102,"Romantique, Branché, Décontracté",0122783723,True,False
Le Jeunesse,"31 Avenue de l'Opéra, 75009 Paris",5009,48.865659,2.401742,Français,Bistrot,10-20,Bon marché,3.9,102,Branché,0188854662,False,False
Chez Attaquer,"112 Rue Oberkampf, 75011 Paris",5011,48.867861,2.380583,Thaïlandais,Traditionnel,30-50,Moyenne gamme +,4.1,93,"Familial, Modern",0189087248,True,True
Chez Jusque,"74 Boulevard Voltaire, 75016 Paris",5016,48.815195,2.341484,Thaïlandais,Traditionnel,50+,Haut de gamme,4.5,765,"Décontracté, Branché, Convivial",0146907182,True,False
Maison Tandis que,"13 Rue Saint-Antoine, 75008 Paris",5008,48.884109,2.321181,Fusion,Modern Fusion,10-20,Bon marché,3.7,159,"Convivial, Familial",0136763007,False,False
La Morvan,"54 Rue Mouffetard, 75011 Paris",5011,48.844441,2.370548,Italien,Pasta,20-30,Moyenne gamme,3.7,677,Décontracté,0101476888,True,True
Maison Vidal,"4 Rue Mouffetard, 75016 Paris",5016,48.833421,2.372507,Italien,Pasta,10-20,Bon marché,4.6,309,Romantique,0143059943,True,False
Les Restaurant Pottier,"71 Avenue Montaigne, 75014 Paris",5014,48.836576,2.342085,Indien,Nord-Indien,50+,Haut de gamme,5.0,339,Traditionnel,0127733086,False,False
Aux Masson,"65 Rue Oberkampf, 75016 Paris",5016,48.846031,2.303206,Chinois,Sichuan,30-50,Moyenne gamme +,4.1,219,"Business, Modern",0171815047,True,True
La Expliquer,"123 Rue Mouffetard, 75011 Paris",5011,48.833344,2.37686,Indien,Nord-Indien,30-50,Moyenne gamme +,4.8,268,"Traditionnel, Familial, Romantique",0142435880,True,False
Chez Saveurs Monnier,"120 Avenue des Champs-Élysées, 75001 Paris",5001,48.862302,2.36609,Chinois,Dim Sum,30-50,Moyenne gamme +,3.6,213,"Familial, Modern",0181261696,True,True
La Rossi,"129 Rue Mouffetard, 75018 Paris",5018,48.904895,2.345257,Méditerranéen,Mezze,30-50,Moyenne gamme +,4.4,75,"Élégant, Cosy, Romantique",0148056119,True,False
Le Malade,"82 Place Vendôme, 75018 Paris",5018,48.856193,2.331426,Thaïlandais,Street food,20-30,Moyenne gamme,4.3,394,"Traditionnel, Modern, Élégant",0108711289,False,True
Au Meyer,"19 Rue Saint-Antoine, 75002 Paris",5002,48.821936,2.340561,Français,Traditionnel,50+,Haut de gamme,5.0,75,"Romantique, Traditionnel",0150250966,False,False
Aux Bistrot Monnier,"33 Rue Saint-Antoine, 75009 Paris",5009,48.824242,2.35817,Indien,Nord-Indien,20-30,Moyenne gamme,4.0,17,Branché,0197272954,True,False
Chez Complet,"41 Rue Saint-Honoré, 75014 Paris",5014,48.896852,2.391331,Fusion,Modern Fusion,50+,Haut de gamme,4.8,224,"Décontracté, Cosy, Business",0199504916,False,False
Les Lisser,"91 Avenue de l'Opéra, 75001 Paris",5001,48.867436,2.341355,Fusion,Modern Fusion,30-50,Moyenne gamme +,3.7,68,"Convivial, Familial",0130748167,False,True
L' Autorité,"106 Avenue des Champs-Élysées, 75016 Paris",5016,48.885546,2.357316,Chinois,Cantonais,50+,Haut de gamme,4.0,599,Modern,0135727517,False,False
Les Ouvrir,"93 Rue de la Paix, 75007 Paris",5007,48.871895,2.314832,Japonais,Ramen,30-50,Moyenne gamme +,3.8,933,"Business, Romantique, Modern",0149194824,False,True
Les Nommer,"68 Rue de Rivoli, 75014 Paris",5014,48.905638,2.388562,Thaïlandais,Traditionnel,30-50,Moyenne gamme +,3.7,749,Convivial,0127587266,False,True
La Saveurs Valentin,"119 Rue de Passy, 75004 Paris",5004,48.876198,2.362494,Libanais,Grillades,20-30,Moyenne gamme,4.5,148,Élégant,0180427456,False,False
L' Exprimer,"103 Avenue de l'Opéra, 75011 Paris",5011,48.824335,2.398913,Japonais,Sushi,50+,Haut de gamme,4.1,9,Cosy,0179333962,True,False
Le Cuisine Navarro,"35 Rue de Passy, 75013 Paris",5013,48.848442,2.332283,Italien,Trattoria,10-20,Bon marché,4.7,800,"Romantique, Décontracté, Cosy",0141321483,False,False
L' Anglais,"148 Boulevard Saint-Germain, 75003 Paris",5003,48.904301,2.361726,Libanais,Grillades,30-50,Moyenne gamme +,4.7,177,Romantique,0143180437,True,True
Les Discussion,"64 Rue de Rivoli, 75020 Paris",5020,48.843314,2.330336,Japonais,Sushi,30-50,Moyenne gamme +,4.5,1030,Convivial,0194939222,False,True
Les Sûr,"88 Boulevard Saint-Germain, 75008 Paris",5008,48.860625,2.376867,Japonais,Sushi,10-20,Bon marché,4.8,1004,Familial,0160508317,False,False
Au Ollivier,"14 Rue de Rivoli, 75017 Paris",5017,48.872522,2.345894,Fusion,Asian Fusion,30-50,Moyenne gamme +,3.8,585,Cosy,0101542327,True,False
L' Bon,"115 Avenue Victor Hugo, 75011 Paris",5011,48.813499,2.339043,Italien,Pizza,50+,Haut de gamme,4.5,79,Modern,0188028075,True,False
L' David,"25 Avenue Montaigne, 75002 Paris",5002,48.869805,2.31966,Fusion,Modern Fusion,30-50,Moyenne gamme +,4.1,155,"Familial, Modern, Décontracté",0186469386,True,True
Chez Lebreton,"46 Rue Mouffetard, 75018 Paris",5018,48.885559,2.352843,Italien,Pasta,50+,Haut de gamme,5.0,406,"Branché, Décontracté, Traditionnel",0104091203,False,False
Au Andre,"119 Boulevard Voltaire, 75019 Paris",5019,48.811581,2.336711,Italien,Pizza,30-50,Moyenne gamme +,4.1,124,"Business, Élégant",0155555403,True,False
Les Guillon,"55 Place Vendôme, 75004 Paris",5004,48.810581,2.313559,Fusion,Asian Fusion,50+,Haut de gamme,5.0,45,"Business, Décontracté, Convivial",0151614039,False,True
Maison Michaud,"81 Boulevard Voltaire, 75010 Paris",5010,48.807303,2.390329,Chinois,Sichuan,30-50,Moyenne gamme +,3.6,254,"Branché, Romantique, Convivial",0195794967,True,False
Les Désespoir,"19 Avenue Montaigne, 75018 Paris",5018,48.822123,2.369547,Fusion,Modern Fusion,30-50,Moyenne gamme +,4.4,835,Business,0174635818,False,False
Maison Faux,"26 Rue du Faubourg Saint-Honoré, 75020 Paris",5020,48.848737,2.348849,Indien,Nord-Indien,30-50,Moyenne gamme +,4.1,367,Traditionnel,0184929208,True,True
Maison Bistrot Antoine,"88 Avenue des Champs-Élysées, 75006 Paris",5006,48.863438,2.31215,Libanais,Mezze,10-20,Bon marché,4.3,263,"Familial, Modern",0186920837,False,False
La Souvent,"22 Boulevard Haussmann, 75004 Paris",5004,48.811384,2.379954,Fusion,Modern Fusion,50+,Haut de gamme,4.9,28,Familial,0161847661,True,True
Aux Toile,"134 Place Vendôme, 75010 Paris",5010,48.831734,2.390029,Français,Gastronomique,10-20,Bon marché,4.3,296,Cosy,0161535974,False,False
Au Bistrot Courtois,"93 Avenue de l'Opéra, 75005 Paris",5005,48.845253,2.386415,Végétarien,Végétarien,30-50,Moyenne gamme +,4.9,1393,"Romantique, Familial",0158019118,True,True
Au Roger,"6 Rue de la Roquette, 75008 Paris",5008,48.879123,2.306292,Végétarien,Végétarien,30-50,Moyenne gamme +,4.6,55,"Modern, Décontracté",0138493726,False,False
Au Lemaire,"82 Boulevard Haussmann, 75004 Paris",5004,48.820527,2.388036,Méditerranéen,Mezze,20-30,Moyenne gamme,4.0,229,"Décontracté, Cosy, Convivial",0148920214,False,True
Les Saveurs Gallet,"68 Rue de la Roquette, 75001 Paris",5001,48.871188,2.337751,Libanais,Mezze,10-20,Bon marché,3.8,639,Cosy,0100637660,True,False
Le Bistrot Millet,"44 Rue de Passy, 75011 Paris",5011,48.857517,2.32259,Italien,Pasta,50+,Haut de gamme,5.0,290,"Branché, Convivial, Business",0184198265,True,True
Aux Restaurant Verdier,"51 Avenue Montaigne, 75012 Paris",5012,48.84112,2.370988,Végétarien,Vegan,30-50,Moyenne gamme +,4.0,368,Élégant,0117917917,False,False
Au Cuisine Adam,"71 Avenue Montaigne, 75013 Paris",5013,48.88016,2.310102,Végétarien,Vegan,10-20,Bon marché,4.4,373,"Branché, Modern, Décontracté",0193041615,True,False
Au Cuisine Marie,"26 Rue du Faubourg Saint-Honoré, 75011 Paris",5011,48.832425,2.317176,Thaïlandais,Street food,20-30,Moyenne gamme,4.6,143,"Familial, Romantique, Modern",0130408546,False,True
Aux Maurice,"136 Rue Saint-Antoine, 75011 Paris",5011,48.842996,2.33181,Chinois,Sichuan,50+,Haut de gamme,3.9,79,"Cosy, Branché",0172130671,False,True
Les Saveurs Bigot,"98 Rue de Belleville, 75011 Paris",5011,48.811238,2.311274,Japonais,Izakaya,50+,Haut de gamme,4.5,354,"Traditionnel, Décontracté",0147165773,True,False
Les Face,"101 Avenue de l'Opéra, 75009 Paris",5009,48.823489,2.333138,Végétarien,Végétarien,20-30,Moyenne gamme,4.6,508,Décontracté,0168343343,False,True
Aux Germain,"46 Boulevard Haussmann, 75013 Paris",5013,48.864157,2.345946,Japonais,Izakaya,50+,Haut de gamme,4.2,430,Modern,0154443246,False,True
Les Chauveau,"68 Rue de Belleville, 75012 Paris",5012,48.830569,2.372688,Fusion,Modern Fusion,20-30,Moyenne gamme,4.3,743,Cosy,0136099762,False,False
Au Saveurs Meyer,"79 Rue de Passy, 75004 Paris",5004,48.829701,2.379018,Fusion,Modern Fusion,50+,Haut de gamme,5.0,156,"Business, Branché, Familial",0131438661,True,True
Le Blot,"59 Place Vendôme, 75013 Paris",5013,48.825424,2.365497,Fusion,Modern Fusion,30-50,Moyenne gamme +,4.2,218,Romantique,0172580517,False,False
La Étendue,"146 Rue de Belleville, 75010 Paris",5010,48.897257,2.379463,Végétarien,Vegan,20-30,Moyenne gamme,3.5,490,"Cosy, Convivial, Décontracté",0116179304,False,True
Maison Garcia,"40 Rue de la Roquette, 75010 Paris",5010,48.827908,2.330967,Japonais,Ramen,30-50,Moyenne gamme +,4.9,324,Romantique,0185680560,True,True
Les Comme,"80 Rue de Passy, 75004 Paris",5004,48.897014,2.330201,Thaïlandais,Street food,20-30,Moyenne gamme,3.7,373,Branché,0197319635,True,True
Chez Rapport,"60 Rue de Belleville, 75002 Paris",5002,48.812847,2.374642,Japonais,Izakaya,20-30,Moyenne gamme,4.6,486,"Romantique, Branché",0128174260,False,True
Maison Merle,"22 Rue de Rennes, 75009 Paris",5009,48.856475,2.334644,Fusion,Modern Fusion,50+,Haut de gamme,5.0,470,"Élégant, Branché",0156775607,False,False
Chez Propos,"118 Rue de Belleville, 75020 Paris",5020,48.877651,2.327304,Japonais,Ramen,20-30,Moyenne gamme,4.0,133,"Cosy, Modern, Décontracté",0127395779,True,True
Le Nez,"16 Rue de la Roquette, 75017 Paris",5017,48.87925,2.392677,Thaïlandais,Street food,20-30,Moyenne gamme,4.4,151,"Familial, Traditionnel, Romantique",0104796118,False,False
Chez Perez,"4 Avenue Montaigne, 75009 Paris",5009,48.856123,2.324283,Italien,Pasta,10-20,Bon marché,4.6,39,"Cosy, Élégant, Romantique",0181076110,False,False
Chez Bistrot Dufour,"116 Rue Saint-Honoré, 75013 Paris",5013,48.904518,2.327471,Thaïlandais,Traditionnel,50+,Haut de gamme,4.6,188,"Cosy, Branché",0141834171,True,False
L' Visite,"106 Rue du Faubourg Saint-Honoré, 75018 Paris",5018,48.85528,2.36398,Chinois,Sichuan,20-30,Moyenne gamme,4.0,20,Décontracté,0105469187,True,True
L' Jacob,"138 Boulevard Saint-Germain, 75005 Paris",5005,48.897272,2.358357,Italien,Pasta,50+,Haut de gamme,4.6,137,"Romantique, Élégant",0192068240,True,False
L' Cuisine Mace,"32 Rue Oberkampf, 75011 Paris",5011,48.877121,2.335215,Libanais,Mezze,50+,Haut de gamme,5.0,170,"Convivial, Modern, Traditionnel",0110875400,True,True
Chez Lemaître,"82 Rue de Rennes, 75005 Paris",5005,48.825678,2.304466,Japonais,Sushi,20-30,Moyenne gamme,4.3,111,"Modern, Branché, Cosy",0153129239,True,True
Chez Joubert,"78 Rue Saint-Antoine, 75009 Paris",5009,48.900171,2.324715,Libanais,Grillades,30-50,Moyenne gamme +,4.8,278,Branché,0152625962,False,False
Les Carpentier,"121 Avenue de l'Opéra, 75010 Paris",5010,48.878304,2.353267,Français,Gastronomique,50+,Haut de gamme,4.0,13,Branché,0112555970,True,True
Les Cacher,"48 Boulevard Voltaire, 75007 Paris",5007,48.906084,2.333071,Japonais,Izakaya,20-30,Moyenne gamme,3.9,21,Romantique,0160497750,False,True
Chez Saveurs Parent,"34 Rue de la Roquette, 75011 Paris",5011,48.868355,2.400834,Japonais,Ramen,30-50,Moyenne gamme +,4.6,528,"Modern, Branché, Cosy",0170145530,True,True
Maison Président,"70 Avenue des Champs-Élysées, 75002 Paris",5002,48.88517,2.390471,Chinois,Cantonais,20-30,Moyenne gamme,3.8,143,"Business, Modern, Cosy",0187309230,True,False
Le Machine,"78 Avenue Victor Hugo, 75001 Paris",5001,48.901725,2.376346,Italien,Trattoria,30-50,Moyenne gamme +,4.3,50,"Romantique, Convivial, Cosy",0190510977,True,False
Le Cuisine Bodin,"76 Rue de la Roquette, 75011 Paris",5011,48.898816,2.341001,Libanais,Grillades,50+,Haut de gamme,4.7,161,Traditionnel,0187427317,True,False
Maison Royer,"1 Rue des Martyrs, 75009 Paris",5009,48.85673,2.373332,Thaïlandais,Street food,10-20,Bon marché,4.5,450,Élégant,0182838755,False,False
Le Mace,"94 Avenue des Champs-Élysées, 75016 Paris",5016,48.826211,2.318953,Italien,Pizza,20-30,Moyenne gamme,4.7,82,Business,0137637808,True,False
La Restaurant Dufour,"91 Rue de Belleville, 75003 Paris",5003,48.818708,2.387734,Français,Bistrot,30-50,Moyenne gamme +,3.5,302,"Cosy, Business",0112131933,False,True
L' Marie,"87 Place Vendôme, 75005 Paris",5005,48.846938,2.340346,Chinois,Cantonais,50+,Haut de gamme,3.9,25,"Romantique, Modern, Familial",0131608240,False,True
La Marchand,"105 Place Vendôme, 75014 Paris",5014,48.831418,2.370331,Français,Gastronomique,20-30,Moyenne gamme,4.1,25,Branché,0120361588,False,False
Les Lévêque,"8 Boulevard Saint-Germain, 75005 Paris",5005,48.80997,2.396494,Libanais,Grillades,20-30,Moyenne gamme,4.9,237,"Modern, Convivial",0175819369,True,True
