nom,adresse,arrondissement,latitude,longitude,type_cuisine,specialite,prix_fourchette,categorie_prix,note_moyenne,nb_avis,ambiance,telephone,reservation_recommandee
Marchand & Paris,"148 rue du Faubourg Saint-Antoine, 75005 Paris",75005,48.914952,2.383784,Brésilien,Ramen,20-30,Moyenne gamme,4.5,508,Festif,0188887790,false
La Délicieux de Paris,"81 avenue de Wagram, 75007 Paris",75007,48.936397,2.277168,Burger,Japonais,30-50,Moyenne gamme,4.2,333,Authentique,0170533247,true
Chez Benjamin,"42 rue de la Pompe, 75004 Paris",75004,48.806694,2.399639,Grecque,Gastronomique,50-100,Haut de gamme,4.4,297,Calme,0124942866,true
Vincent & Lenoir,"98 rue de la Gaîté, 75006 Paris",75006,48.857762,2.264452,Street food,Vietnamien,50-100,Haut de gamme,4.2,196,Authentique,0112729582,true
Les Klein,"18 avenue Montaigne, 75005 Paris",75005,48.967207,2.334107,Coréen,,10-20,Bon marché,5.0,819,Animé,0191514720,true
Les Rocher,"65 rue du Faubourg Saint-Antoine, 75017 Paris",75017,48.876318,2.323601,Africain,,10-20,Bon marché,4.0,937,Décontracté,0116934099,true
Table Parisien de Paris,"86 rue Vaugirard, 75002 Paris",75002,48.918466,2.307058,Français,,10-20,Bon marché,3.6,214,Historique,0158591498,false
Les Marchand,"34 avenue de Wagram, 75009 Paris",75009,48.818198,2.26265,Méditerranéen,Végan,50-100,Haut de gamme,4.8,96,Festif,0175241226,false
L'Assiette Authentique de Paris,"20 rue de Rivoli, 75001 Paris",75001,48.809548,2.273582,Crêperie,,100+,Haut de gamme,3.1,606,Authentique,0190529523,false
Les Petit du Palais,"60 rue de Buci, 75002 Paris",75002,48.900608,2.396353,Bistrot,Africain,20-30,Moyenne gamme,4.0,212,Historique,0187337046,false
Chrétien & Marin,"48 rue Caulaincourt, 75001 Paris",75001,48.928569,2.288712,Marocain,Gastronomique,100+,Haut de gamme,4.9,726,Cosy,0199193433,false
Henry & Richard,"76 rue Saint-Maur, 75014 Paris",75014,48.810991,2.260673,Mexicain,Pizza,30-50,Moyenne gamme,4.5,553,Romantique,0193974246,false
Les Baudry,"16 rue de Belleville, 75014 Paris",75014,48.896764,2.373615,Brésilien,Ramen,10-20,Bon marché,3.6,799,Intime,0199978796,false
Les Jacquet,"116 avenue de Wagram, 75016 Paris",75016,48.869655,2.399596,Mexicain,,30-50,Moyenne gamme,4.1,772,Animé,0139853115,false
Voisin & Besnard,"119 rue Didot, 75015 Paris",75015,48.912501,2.279373,Coréen,Végétarien,20-30,Moyenne gamme,4.6,400,Élégant,0161561165,false
Cuisine Vieux de la Tour,"87 rue du Faubourg Saint-Antoine, 75001 Paris",75001,48.810159,2.413445,Libanais,Gastronomique,30-50,Moyenne gamme,3.5,508,Historique,0165653072,false
Gonzalez,"123 rue Saint-Maur, 75010 Paris",75010,48.905142,2.353977,Africain,,20-30,Moyenne gamme,3.8,23,Moderne,0190305390,true
Les Roux,"88 rue Réaumur, 75012 Paris",75012,48.948219,2.303131,Fruits de mer,Méditerranéen,10-20,Bon marché,3.0,388,Vue panoramique,0141365198,true
Fleury & Martel,"72 rue Vaugirard, 75011 Paris",75011,48.879858,2.253298,Thaïlandais,Fruits de mer,30-50,Moyenne gamme,4.6,596,Calme,0185884041,true
François & Maréchal,"100 rue du Faubourg Saint-Antoine, 75009 Paris",75009,48.933226,2.412633,Crêperie,,10-20,Bon marché,3.9,238,Romantique,0151558971,false
Marin & Legrand,"81 rue Saint-Maur, 75018 Paris",75018,48.863922,2.36911,Marocain,,100+,Haut de gamme,4.2,312,Familial,0134777446,true
L'Atelier Vieux de la Tour,"7 avenue des Champs-Élysées, 75014 Paris",75014,48.87751,2.283623,Brésilien,,20-30,Moyenne gamme,3.9,401,Décontracté,0186665023,false
Café Royal des Saveurs,"95 rue Cler, 75011 Paris",75011,48.806695,2.33699,Bistrot,Grecque,30-50,Moyenne gamme,3.8,344,Familial,0192465182,false
Chez Louise,"128 rue Saint-Honoré, 75003 Paris",75003,48.883717,2.342669,Chinois,Ramen,20-30,Moyenne gamme,3.2,378,Intime,0153206253,false
Torres & Vincent,"40 rue Vaugirard, 75003 Paris",75003,48.80717,2.37895,Brasserie,Américain,20-30,Moyenne gamme,3.5,670,Romantique,0116929938,true
Chez Henri,"36 rue Caulaincourt, 75011 Paris",75011,48.835502,2.349066,Coréen,Sushi,30-50,Moyenne gamme,4.0,695,Vue panoramique,0180181535,false
Les Impérial de la Seine,"131 rue des Martyrs, 75013 Paris",75013,48.843567,2.283281,Caribéen,Tapas,100+,Haut de gamme,3.6,579,Intime,0175593035,false
Les Gérard,"101 rue Oberkampf, 75010 Paris",75010,48.94862,2.284024,Brésilien,Tapas,100+,Haut de gamme,4.5,219,Décontracté,0124155923,false
Chez Suzanne,"78 place Vendôme, 75015 Paris",75015,48.92239,2.372395,Espagnol,Pizza,20-30,Moyenne gamme,4.0,327,Romantique,0137335236,true
Thibault & Bailly,"101 rue Saint-Maur, 75006 Paris",75006,48.958127,2.301586,Brasserie,Mexicain,20-30,Moyenne gamme,3.2,119,Romantique,0113891611,false
Clément & Menard,"146 rue des Martyrs, 75004 Paris",75004,48.877678,2.408482,Marocain,Bistrot,30-50,Moyenne gamme,3.2,437,Romantique,0148142548,true
Seguin,"8 rue de la Gaîté, 75006 Paris",75006,48.924344,2.27606,Japonais,,50-100,Haut de gamme,4.7,603,Traditionnel,0144129982,true
Auberge Petit du Marché,"128 rue de la Convention, 75015 Paris",75015,48.846234,2.398239,Français,Végétarien,10-20,Bon marché,4.9,907,Traditionnel,0146713544,true
Maurice & Jean,"1 rue de Ménilmontant, 75002 Paris",75002,48.939521,2.34258,Bistrot,Méditerranéen,20-30,Moyenne gamme,4.4,770,Familial,0146562186,true
Les Barbe,"142 rue du Commerce, 75005 Paris",75005,48.861256,2.323391,Vietnamien,Street food,50-100,Haut de gamme,3.7,365,Moderne,0128967396,false
Les Lebreton,"120 boulevard de Grenelle, 75018 Paris",75018,48.827103,2.385785,Fruits de mer,,30-50,Moyenne gamme,4.0,890,Élégant,0186537990,false
Chez Théophile,"102 rue Montorgueil, 75014 Paris",75014,48.924415,2.385475,Gastronomique,Africain,10-20,Bon marché,4.2,270,Décontracté,0139975272,true
Pruvost & Gilbert,"57 avenue Parmentier, 75012 Paris",75012,48.964778,2.385989,Ramen,,10-20,Bon marché,3.5,669,Authentique,0129983410,false
Schneider & Colas,"37 rue Saint-Honoré, 75010 Paris",75010,48.831571,2.381932,Coréen,Burger,100+,Haut de gamme,4.3,984,Animé,0113121347,true
Table Grand du Palais,"92 avenue de la République, 75013 Paris",75013,48.966092,2.334999,Mexicain,Crêperie,20-30,Moyenne gamme,3.6,644,Historique,0191888515,false
Les Legendre,"8 boulevard de Clichy, 75016 Paris",75016,48.882866,2.403999,Bistrot,,10-20,Bon marché,3.8,611,Intime,0197721358,true
Lopez & Bourdon,"65 rue du Commerce, 75003 Paris",75003,48.869803,2.25175,Chinois,Ramen,30-50,Moyenne gamme,3.5,490,Familial,0151498067,true
Chez Nicole,"8 rue Caulaincourt, 75015 Paris",75015,48.829566,2.326793,Libanais,Ramen,100+,Haut de gamme,3.8,957,Familial,0142842599,false
Chez Eugène,"11 rue Daguerre, 75020 Paris",75020,48.831055,2.307812,Chinois,Végan,20-30,Moyenne gamme,4.0,265,Romantique,0159933258,true
Ledoux & Guillaume,"30 boulevard Haussmann, 75006 Paris",75006,48.847413,2.344738,Français,Crêperie,50-100,Haut de gamme,3.0,547,Intime,0191792363,true
Toussaint & Lecomte,"18 rue Saint-Honoré, 75003 Paris",75003,48.912989,2.325837,Vietnamien,Gastronomique,20-30,Moyenne gamme,4.8,906,Élégant,0125133021,false
Peltier & Faure,"18 avenue de la République, 75006 Paris",75006,48.819168,2.363205,Chinois,Burger,20-30,Moyenne gamme,3.3,146,Terrasse,0111571775,false
Chez Jérôme,"123 rue de Buci, 75007 Paris",75007,48.929288,2.331207,Méditerranéen,Végan,20-30,Moyenne gamme,3.8,658,Branché,0128952675,true
L'Assiette Parisien du Palais,"93 rue Lepic, 75009 Paris",75009,48.821645,2.354532,Grecque,Crêperie,50-100,Haut de gamme,3.1,697,Intime,0160678738,false
Chez Françoise,"62 rue Saint-Maur, 75017 Paris",75017,48.878966,2.387158,Japonais,Végétarien,50-100,Haut de gamme,3.1,96,Élégant,0192155745,true
Les Sanchez,"78 rue du Commerce, 75020 Paris",75020,48.85821,2.33789,Mexicain,,50-100,Haut de gamme,4.0,405,Élégant,0170532198,true
Bistrot Bon de la Tour,"132 rue Lepic, 75011 Paris",75011,48.901619,2.363846,Crêperie,,100+,Haut de gamme,3.4,323,Animé,0152769662,true
Les Bernard,"49 boulevard de Magenta, 75012 Paris",75012,48.941166,2.281123,Gastronomique,Brésilien,100+,Haut de gamme,4.0,130,Moderne,0191413686,false
Lejeune & Lebreton,"96 rue des Rosiers, 75013 Paris",75013,48.938229,2.417257,Américain,,50-100,Haut de gamme,4.1,159,Traditionnel,0187194225,false
Bistrot Savoureux des Saveurs,"141 boulevard Voltaire, 75009 Paris",75009,48.830788,2.311427,Grecque,Végétarien,50-100,Haut de gamme,4.3,511,Cosy,0170655950,true
Les Bon de Paris,"141 rue du Commerce, 75009 Paris",75009,48.848312,2.290916,Chinois,,50-100,Haut de gamme,3.4,922,Familial,0111245389,false
Chez Marie,"147 rue de la Roquette, 75018 Paris",75018,48.827267,2.347111,Espagnol,Gastronomique,100+,Haut de gamme,3.6,235,Décontracté,0159367988,true
Relais Nouveau Gourmand,"118 rue de Belleville, 75006 Paris",75006,48.869451,2.325503,Burger,Français,20-30,Moyenne gamme,4.3,455,Terrasse,0167373922,false
Lelièvre & Klein,"98 avenue des Champs-Élysées, 75018 Paris",75018,48.865943,2.325172,Burger,,50-100,Haut de gamme,3.9,906,Convivial,0153511273,false
Chez Arthur,"96 rue Cler, 75003 Paris",75003,48.949214,2.413311,Coréen,Bistrot,20-30,Moyenne gamme,3.4,371,Terrasse,0145414739,true
Le Gourmand des Gourmets,"89 place Vendôme, 75013 Paris",75013,48.828652,2.39512,Grecque,,50-100,Haut de gamme,3.2,271,Intime,0139445643,true
Grondin & Hervé,"94 rue de la Paix, 75008 Paris",75008,48.874102,2.398071,Libanais,Ramen,100+,Haut de gamme,3.1,91,Convivial,0142672947,true
Chez Roland,"105 avenue de l'Opéra, 75006 Paris",75006,48.840162,2.387314,Espagnol,,100+,Haut de gamme,3.1,680,Décontracté,0146807064,false
Chez Martine,"20 rue Saint-Honoré, 75004 Paris",75004,48.855331,2.279205,Libanais,Sushi,50-100,Haut de gamme,4.1,387,Décontracté,0129783341,false
Au Nouveau des Gourmets,"95 avenue Parmentier, 75009 Paris",75009,48.889912,2.333293,Brésilien,Végan,20-30,Moyenne gamme,3.3,630,Familial,0118582710,true
Rey & Aubry,"141 rue du Commerce, 75013 Paris",75013,48.884954,2.386823,Brasserie,,100+,Haut de gamme,3.7,630,Terrasse,0142776231,false
Chez Simone,"19 rue Saint-Maur, 75012 Paris",75012,48.931762,2.377559,Végan,Grecque,50-100,Haut de gamme,3.8,392,Romantique,0150723512,true
Toussaint & Pruvost,"36 rue de Ménilmontant, 75010 Paris",75010,48.963135,2.291712,Indien,Burger,50-100,Haut de gamme,3.5,418,Authentique,0169573669,true
La Délicieux des Saveurs,"99 rue de Ménilmontant, 75014 Paris",75014,48.886142,2.25188,Mexicain,Gastronomique,100+,Haut de gamme,4.0,966,Historique,0118555234,true
Bistrot Petit du Marché,"131 rue de Buci, 75017 Paris",75017,48.950201,2.378944,Brésilien,Sushi,100+,Haut de gamme,3.9,646,Festif,0146571676,false
Philippe & Lamy,"132 boulevard Saint-Germain, 75018 Paris",75018,48.833377,2.354869,Street food,Indien,50-100,Haut de gamme,3.7,741,Authentique,0191442828,false
Devaux & Jean,"57 boulevard Saint-Germain, 75002 Paris",75002,48.835805,2.418475,Indien,Street food,20-30,Moyenne gamme,3.8,855,Élégant,0164808242,false
Chez Madeleine,"10 boulevard de Clichy, 75016 Paris",75016,48.843874,2.344957,Burger,Libanais,50-100,Haut de gamme,3.2,695,Authentique,0153885770,false
Chez Valérie,"58 avenue des Champs-Élysées, 75014 Paris",75014,48.825155,2.288016,Thaïlandais,,30-50,Moyenne gamme,4.0,751,Terrasse,0116854842,true
Chez Guy,"64 rue Didot, 75005 Paris",75005,48.961244,2.36269,Ramen,Vietnamien,50-100,Haut de gamme,4.5,439,Festif,0148204130,false
Les Guérin,"15 rue de la Convention, 75013 Paris",75013,48.868904,2.394407,Fruits de mer,Français,30-50,Moyenne gamme,4.9,131,Moderne,0140727260,false
Les Lopez,"63 rue de Belleville, 75006 Paris",75006,48.958844,2.38491,Thaïlandais,Végan,10-20,Bon marché,3.2,825,Romantique,0129796473,false
Aux Petit du Chef,"75 place Vendôme, 75012 Paris",75012,48.9525,2.390112,Japonais,Pizza,30-50,Moyenne gamme,3.2,606,Branché,0115881034,false
Le Gall & Valentin,"28 rue de la Roquette, 75019 Paris",75019,48.903102,2.367135,Africain,Street food,30-50,Moyenne gamme,3.3,483,Traditionnel,0130929975,true
Café Parisien du Chef,"122 boulevard de Grenelle, 75012 Paris",75012,48.91955,2.256256,Pizza,Coréen,50-100,Haut de gamme,4.6,250,Moderne,0195513640,true
Chez Vieux de Paris,"115 rue Mouffetard, 75005 Paris",75005,48.914179,2.373995,Pizza,,30-50,Moyenne gamme,4.2,745,Historique,0165622592,false
Les Bouvet,"54 rue de la Gaîté, 75002 Paris",75002,48.867573,2.370554,Coréen,Végan,10-20,Bon marché,3.1,883,Traditionnel,0159337369,false
Les Colas,"116 rue Mouffetard, 75011 Paris",75011,48.968023,2.275189,Ramen,Thaïlandais,100+,Haut de gamme,4.7,198,Romantique,0131426321,true
Chez Sébastien,"62 rue Caulaincourt, 75020 Paris",75020,48.800465,2.332076,Américain,,20-30,Moyenne gamme,3.8,799,Romantique,0190565388,true
Bigot & Lagarde,"136 boulevard Voltaire, 75020 Paris",75020,48.869247,2.356597,Burger,Italien,50-100,Haut de gamme,4.9,615,Moderne,0178681546,true
Relais Savoureux des Gourmets,"147 rue Lepic, 75011 Paris",75011,48.837706,2.389656,Burger,Mexicain,10-20,Bon marché,4.6,694,Traditionnel,0160431077,true
Chez Thibaut,"102 rue de Rivoli, 75014 Paris",75014,48.912763,2.334428,Japonais,,30-50,Moyenne gamme,4.1,931,Vue panoramique,0112749149,false
Antoine & Maillard,"144 rue Réaumur, 75011 Paris",75011,48.849694,2.293706,Marocain,Bistrot,10-20,Bon marché,3.7,261,Historique,0112222643,true
Gimenez & Teixeira,"53 rue Réaumur, 75006 Paris",75006,48.935053,2.410542,Mexicain,Gastronomique,100+,Haut de gamme,4.3,88,Élégant,0125104018,false
Joseph,"87 rue Oberkampf, 75017 Paris",75017,48.937122,2.342702,Sushi,Africain,10-20,Bon marché,4.0,639,Traditionnel,0120552155,true
Texier,"23 rue Saint-Honoré, 75006 Paris",75006,48.887111,2.388008,Libanais,Ramen,100+,Haut de gamme,3.4,956,Intime,0113535965,true
Chez Philippe,"43 rue du Faubourg Saint-Antoine, 75020 Paris",75020,48.833849,2.257134,Japonais,,20-30,Moyenne gamme,4.7,966,Historique,0181685951,false
Michel & Robin,"49 rue de Rivoli, 75019 Paris",75019,48.930241,2.350791,Vietnamien,Bistrot,10-20,Bon marché,4.9,892,Authentique,0120272286,false
Rolland & Parent,"127 rue Vaugirard, 75018 Paris",75018,48.91302,2.419729,Crêperie,Italien,30-50,Moyenne gamme,3.5,559,Vue panoramique,0147142317,false
Coste & Lefebvre,"40 rue de la Roquette, 75011 Paris",75011,48.921006,2.397816,Végan,,30-50,Moyenne gamme,3.2,325,Moderne,0162121346,true
Délice Royal,"30 boulevard Haussmann, 75009 Paris",75009,48.893535,2.342022,Crêperie,,20-30,Moyenne gamme,4.2,606,Branché,0139164549,false
Les Fournier,"26 rue de Passy, 75002 Paris",75002,48.807229,2.387615,Grecque,Crêperie,30-50,Moyenne gamme,4.5,150,Branché,0122851023,false
Ledoux & Boulay,"139 boulevard Haussmann, 75009 Paris",75009,48.802864,2.287131,Caribéen,,20-30,Moyenne gamme,3.2,182,Décontracté,0193829923,false
Chez Charlotte,"131 rue des Rosiers, 75014 Paris",75014,48.904254,2.316035,Africain,,100+,Haut de gamme,4.6,804,Animé,0173804017,true
Chez Diane,"104 boulevard Voltaire, 75014 Paris",75014,48.842999,2.271792,Pizza,Chinois,50-100,Haut de gamme,3.5,629,Historique,0110246185,true
L'Assiette Traditionnel du Marché,"19 boulevard de Magenta, 75013 Paris",75013,48.876003,2.274988,Marocain,Végan,100+,Haut de gamme,3.0,225,Cosy,0199116223,true
Mary,"84 rue de la Pompe, 75013 Paris",75013,48.846563,2.258319,Américain,Burger,20-30,Moyenne gamme,3.4,371,Animé,0195944172,true
Aux Petit du Marché,"118 avenue de Clichy, 75010 Paris",75010,48.859133,2.359523,Chinois,,20-30,Moyenne gamme,3.6,191,Vue panoramique,0111707718,false
Marin & Robin,"52 rue du Temple, 75009 Paris",75009,48.961248,2.336649,Bistrot,Méditerranéen,20-30,Moyenne gamme,3.9,146,Romantique,0140927259,true
Restaurant Royal de la Tour,"26 rue de la Roquette, 75017 Paris",75017,48.945495,2.34765,Ramen,Japonais,100+,Haut de gamme,4.9,119,Calme,0146424195,false
Lévêque & Lejeune,"136 rue de Rivoli, 75005 Paris",75005,48.92255,2.322224,Crêperie,,100+,Haut de gamme,3.8,359,Romantique,0171343323,false
Les Le Roux,"52 boulevard de la Villette, 75013 Paris",75013,48.890523,2.333836,Vietnamien,Brasserie,100+,Haut de gamme,3.4,260,Festif,0115535570,false
Lebrun & Leconte,"144 avenue des Champs-Élysées, 75003 Paris",75003,48.837524,2.286471,Indien,Végétarien,20-30,Moyenne gamme,3.9,557,Branché,0123978066,false
Les Duval,"25 boulevard Saint-Germain, 75009 Paris",75009,48.936921,2.384487,Grecque,Pizza,100+,Haut de gamme,4.8,924,Animé,0121534088,true
Renard & Boulanger,"71 rue du Commerce, 75006 Paris",75006,48.957218,2.297204,Français,,50-100,Haut de gamme,4.6,231,Vue panoramique,0152222174,false
Bouchet & Lemonnier,"90 avenue de Wagram, 75015 Paris",75015,48.833296,2.285542,Libanais,Végan,100+,Haut de gamme,3.0,291,Animé,0132303915,false
Chez Clémence,"76 rue Didot, 75002 Paris",75002,48.916946,2.391715,Espagnol,Végétarien,10-20,Bon marché,4.5,751,Animé,0156904897,true
Dupré & Maréchal,"97 rue de Rivoli, 75006 Paris",75006,48.918947,2.278252,Caribéen,Bistrot,10-20,Bon marché,3.2,171,Animé,0119296323,true
Samson & Dias,"45 rue de Belleville, 75015 Paris",75015,48.918068,2.403141,Américain,Ramen,10-20,Bon marché,3.4,312,Terrasse,0178692184,true
Chez Auguste,"137 rue Oberkampf, 75018 Paris",75018,48.812609,2.34163,Indien,Fruits de mer,100+,Haut de gamme,4.8,828,Élégant,0140167587,false
Les Bon de la Tour,"86 rue Vaugirard, 75005 Paris",75005,48.922556,2.342943,Végétarien,Marocain,20-30,Moyenne gamme,4.6,235,Branché,0176288966,true
Blanc & Gomes,"43 boulevard de Magenta, 75009 Paris",75009,48.937355,2.349593,Crêperie,Français,10-20,Bon marché,4.6,717,Romantique,0113205131,false
Cuisine Authentique de Paris,"113 rue du Commerce, 75012 Paris",75012,48.814457,2.38817,Français,,30-50,Moyenne gamme,3.6,698,Cosy,0174924747,true
Fleury & Breton,"134 rue Saint-Honoré, 75005 Paris",75005,48.808305,2.362546,Mexicain,Sushi,10-20,Bon marché,3.6,490,Familial,0174656913,true
Leleu & Antoine,"89 boulevard de la Villette, 75011 Paris",75011,48.854679,2.362425,Africain,Fruits de mer,50-100,Haut de gamme,3.8,135,Calme,0162294475,true
Les Martin,"44 avenue Parmentier, 75013 Paris",75013,48.860363,2.419786,Gastronomique,,50-100,Haut de gamme,3.1,222,Calme,0162878881,true
La Grand du Palais,"65 avenue de Clichy, 75004 Paris",75004,48.864275,2.379855,Gastronomique,,30-50,Moyenne gamme,4.3,274,Décontracté,0180707341,false
Chez Célina,"17 rue Cler, 75013 Paris",75013,48.871366,2.371888,Mexicain,,100+,Haut de gamme,4.1,695,Moderne,0162483012,true
Les Pasquier,"136 rue de la Convention, 75007 Paris",75007,48.807194,2.318557,Américain,Végétarien,50-100,Haut de gamme,3.6,656,Terrasse,0130555747,false
Chez Bernard,"95 rue du Cherche-Midi, 75018 Paris",75018,48.963195,2.34016,Mexicain,Ramen,10-20,Bon marché,4.3,491,Terrasse,0149624547,false
Paul,"28 place Vendôme, 75008 Paris",75008,48.806382,2.366761,Africain,Pizza,30-50,Moyenne gamme,4.5,147,Authentique,0188991796,false
Chez Gilles,"135 boulevard de Clichy, 75019 Paris",75019,48.933853,2.342544,Chinois,Burger,20-30,Moyenne gamme,4.6,102,Cosy,0186687769,false
Navarro & Rocher,"56 rue Mouffetard, 75013 Paris",75013,48.816202,2.413326,Espagnol,Bistrot,10-20,Bon marché,4.4,989,Branché,0188747351,false
Vallée & Rivière,"142 rue Réaumur, 75017 Paris",75017,48.821744,2.351523,Végétarien,,20-30,Moyenne gamme,4.6,840,Romantique,0185235263,true
Auberge Délicieux des Saveurs,"128 boulevard de Clichy, 75010 Paris",75010,48.809851,2.302909,Street food,Grecque,10-20,Bon marché,4.8,706,Animé,0160578854,true
Lombard,"135 boulevard de la Villette, 75019 Paris",75019,48.922902,2.410072,Caribéen,Burger,50-100,Haut de gamme,4.1,361,Romantique,0185276234,true
Chez Susanne,"116 rue de la Roquette, 75011 Paris",75011,48.857374,2.333704,Japonais,Végétarien,30-50,Moyenne gamme,3.3,558,Vue panoramique,0115569012,false
Dupuis & Lacombe,"110 rue de la Convention, 75002 Paris",75002,48.867631,2.353263,Chinois,Fruits de mer,50-100,Haut de gamme,4.6,28,Familial,0134177636,true
Table Grand de la Seine,"55 boulevard Haussmann, 75006 Paris",75006,48.906484,2.332496,Pizza,,30-50,Moyenne gamme,3.1,450,Convivial,0180336583,true
Brasserie Royal du Marché,"136 boulevard de Grenelle, 75007 Paris",75007,48.904466,2.271103,Espagnol,Tapas,100+,Haut de gamme,4.5,551,Élégant,0162153739,false
Table Traditionnel de la Place,"5 rue Saint-Maur, 75002 Paris",75002,48.901635,2.347374,Japonais,,30-50,Moyenne gamme,4.1,967,Romantique,0167428431,true
Langlois & Courtois,"147 boulevard Raspail, 75010 Paris",75010,48.896689,2.274978,Tapas,Brésilien,10-20,Bon marché,4.8,312,Élégant,0178568459,false
Courtois,"80 avenue Parmentier, 75020 Paris",75020,48.963307,2.259311,Burger,,20-30,Moyenne gamme,3.2,869,Calme,0147286561,false
Morin & Jean,"40 rue de Passy, 75004 Paris",75004,48.855382,2.362632,Grecque,,10-20,Bon marché,4.3,188,Animé,0149813976,false
Jourdan,"105 avenue de la République, 75004 Paris",75004,48.873805,2.295227,Ramen,Grecque,30-50,Moyenne gamme,3.1,833,Élégant,0161855579,false
Didier & Auger,"89 rue de la Pompe, 75003 Paris",75003,48.95705,2.270432,Burger,Méditerranéen,50-100,Haut de gamme,3.2,860,Élégant,0134775083,true
Chez Stéphane,"69 rue de Passy, 75018 Paris",75018,48.944875,2.323822,Mexicain,,30-50,Moyenne gamme,4.3,51,Romantique,0131713810,true
Grégoire & Munoz,"100 rue Saint-Honoré, 75002 Paris",75002,48.904051,2.297472,Coréen,Végan,10-20,Bon marché,4.3,843,Festif,0113161858,false
Les Legros,"14 rue Didot, 75014 Paris",75014,48.884196,2.325258,Tapas,Brésilien,50-100,Haut de gamme,4.3,61,Intime,0138914544,true
Georges & Berger,"42 rue de la Paix, 75015 Paris",75015,48.956881,2.406925,Ramen,Grecque,20-30,Moyenne gamme,4.2,362,Romantique,0181217290,false
Maison Parisien des Délices,"68 rue Saint-Honoré, 75007 Paris",75007,48.957618,2.328923,Brésilien,Fruits de mer,30-50,Moyenne gamme,3.7,962,Décontracté,0135546123,true
Aux Petit du Palais,"29 rue Lepic, 75014 Paris",75014,48.951538,2.342682,Africain,,30-50,Moyenne gamme,3.3,517,Intime,0158253437,true
Les Aubert,"13 rue Réaumur, 75006 Paris",75006,48.834831,2.292521,Crêperie,Coréen,30-50,Moyenne gamme,4.0,847,Cosy,0165454616,true
Chez Vieux des Saveurs,"128 avenue de la République, 75017 Paris",75017,48.965525,2.279175,Libanais,Fruits de mer,10-20,Bon marché,4.8,925,Décontracté,0123903443,false
Joseph & Grégoire,"113 rue Lepic, 75014 Paris",75014,48.85754,2.347312,Burger,,100+,Haut de gamme,3.5,127,Convivial,0132799750,true
Letellier & Dufour,"6 boulevard Barbès, 75019 Paris",75019,48.824913,2.384709,Grecque,Végan,50-100,Haut de gamme,4.0,72,Terrasse,0173406176,false
Les Muller,"1 boulevard Raspail, 75018 Paris",75018,48.856959,2.418108,Libanais,Tapas,30-50,Moyenne gamme,3.7,173,Branché,0160969456,true
Auberge Impérial du Chef,"19 avenue de Clichy, 75006 Paris",75006,48.873093,2.353523,Indien,Bistrot,50-100,Haut de gamme,4.5,987,Familial,0181857897,true
Les Baron,"140 avenue des Champs-Élysées, 75006 Paris",75006,48.842631,2.414741,Italien,,10-20,Bon marché,4.9,718,Calme,0194796586,false
Table Parisien des Délices,"130 rue Didot, 75002 Paris",75002,48.911644,2.254457,Brésilien,Fruits de mer,20-30,Moyenne gamme,4.8,421,Authentique,0159713579,false
Leblanc & Guillou,"20 rue de Belleville, 75003 Paris",75003,48.885987,2.372152,Tapas,,50-100,Haut de gamme,4.2,514,Terrasse,0179298983,false
Chez Valentine,"82 avenue de Clichy, 75019 Paris",75019,48.840372,2.258818,Italien,,100+,Haut de gamme,3.6,546,Romantique,0161923397,false
Restaurant Authentique du Palais,"98 rue Réaumur, 75020 Paris",75020,48.889009,2.328317,Brésilien,Végétarien,10-20,Bon marché,3.3,931,Décontracté,0153574442,true
Carre & Pages,"51 rue Mouffetard, 75012 Paris",75012,48.957041,2.408871,Street food,Espagnol,20-30,Moyenne gamme,4.4,767,Traditionnel,0160383479,false
Les Léger,"104 rue des Martyrs, 75009 Paris",75009,48.829216,2.410831,Thaïlandais,Sushi,30-50,Moyenne gamme,4.4,964,Historique,0132535931,false
Camus & Gérard,"95 place Vendôme, 75001 Paris",75001,48.833007,2.356782,Brasserie,Coréen,100+,Haut de gamme,3.6,634,Festif,0172974643,true
Tanguy,"132 avenue Parmentier, 75003 Paris",75003,48.806407,2.392556,Végan,,100+,Haut de gamme,4.0,58,Animé,0176528440,true
Chez Christine,"101 avenue de l'Opéra, 75003 Paris",75003,48.943799,2.339169,Brésilien,Crêperie,20-30,Moyenne gamme,3.2,756,Décontracté,0156893763,true
Le Roux & Courtois,"115 rue de Turbigo, 75002 Paris",75002,48.865099,2.339966,Américain,,20-30,Moyenne gamme,4.4,668,Cosy,0146211455,true
Maison Savoureux des Délices,"16 rue Saint-Maur, 75005 Paris",75005,48.955192,2.381896,Végétarien,Indien,20-30,Moyenne gamme,4.7,549,Intime,0161302752,false
Ledoux & Devaux,"15 rue de Turbigo, 75019 Paris",75019,48.907469,2.374591,Brésilien,Pizza,30-50,Moyenne gamme,4.7,151,Historique,0153755395,true
Hoareau & Pineau,"94 rue de Turbigo, 75020 Paris",75020,48.807289,2.386276,Africain,Street food,10-20,Bon marché,4.9,841,Vue panoramique,0152132710,false
Les Lebrun,"59 boulevard Voltaire, 75008 Paris",75008,48.834696,2.357611,Espagnol,Végan,30-50,Moyenne gamme,4.7,80,Animé,0110515371,true
Brasserie Moderne des Délices,"135 rue de Belleville, 75013 Paris",75013,48.822055,2.393814,Méditerranéen,Ramen,20-30,Moyenne gamme,3.8,930,Authentique,0147926229,false
